author,title,
abbott,alexander,Alexander the Great
abbott,caleb,Caleb in the Country
abbott,charles,
abbott,cleopatra,Cleopatra
abbott,cyrus,Cyrus the Great
abbott,darius,Darius the Great
abbott,forests,Forests of Maine
stevenson,blackarrow,The Black Arrow: A Tale of the Two Roses
stevenson,drjekyll, The Strange Case of Dr. Jekyll and Mr. Hyde
stevenson,kidnapped, Kidnapped
stevenson,treasureisland, Treasure Island
stevenson,wrecker, The Wrecker
stevenson,wrongbox, The Wrong Box
alcott,candy, The Candy Country
alcott,cousins, Eight Cousins
alcott,ghost, The Abbot's Ghost
alcott,mask, Behind a Mask
alcott,scrap5,"1,1"
alcott,scrap6,
alcott,scrap,
alger,adrift,
alger,brave,
alger,cash,
alger,grant,
alger,ladder,
alger,luggage,
alger,nugget,
allen,african,
allen,barbarians,
allen,beckoning,
allen,britain,
allen,darwin,
allen,taboo,
allen,working,
austen,emma,
austen,love,
austen,mansfield,
austen,northanger,
austen,persuasion,
austen,pride,
austen,sense,
austen,susan,
bronte,eyre,
bronte,professor,
bronte,shirley,
bronte,villete,
cooper,chase,
cooper,myers,
cooper,pilot,
cooper,precaution,
cooper,sea,
cooper,wept,
dickens,carol,
dickens,copperfield,
dickens,holiday,
dickens,house,
dickens,life,
dickens,twist,
garland,daughter,
garland,eagle,
garland,gray,
garland,prairie,
garland,roads,
garland,shadow,
garland,star,
garland,wayside,
hawthorne,blithedale,
hawthorne,elixir,
hawthorne,fanshawe,
hawthorne,faun1,
hawthorne,faun2,
hawthorne,grimshawe,
james,ambassadors,
james,beast,
james,carpet,
james,europeans,
james,jolly,
james,portrait,
james,washington,
melville,bartleby,
melville,battle,
melville,confidence,
melville,jacket,
melville,moby,
melville,omoo,
melville,pierre,
melville,potter,
melville,redburn,
melville,typee,
page,bred,
page,burial,
page,confederates,
page,keith,
page,prisoners,
page,santa,
thoreau,cod,
thoreau,excursions,
thoreau,maine,
twain,mississippi,
twain,prince,
twain,roughing,
twain,sawyer,
twain,tramp,
doyle,lostworld,
doyle,poisonbelt,
doyle,sherlockholmes,
doyle,valley,
doyle,whitecompany,
irving,astoria,
irving,captainbonneville,
irving,historynewyork,
irving,olivergoldsmith,
irving,sketchbook,
poe,vol1,
poe,vol2,
poe,vol3,
poe,vol4,
poe,vol5,
jewett,bettyleicester,
jewett,countrydoctor,
jewett,lifeofnancy,
jewett,pointedfirs,
jewett,strangers,
wharton,ageofinnocence,
wharton,custom,
wharton,ethanfrome,
wharton,houseofmirth,
wharton,reef,
wharton,summer,
