author,title,title_full
jacob abbott,alexander,Alexander the Great
jacob abbott,caleb,Caleb in the Country
jacob abbott,charles,charles
jacob abbott,cleopatra,Cleopatra
jacob abbott,cyrus,Cyrus the Great
jacob abbott,darius,Darius the Great
jacob abbott,forests,Forests of Maine
robert louis stevenson,blackarrow,The Black Arrow: A Tale of the Two Roses
robert louis stevenson,drjekyll, The Strange Case of Dr. Jekyll and Mr. Hyde
robert louis stevenson,kidnapped, Kidnapped
robert louis stevenson,treasureisland, Treasure Island
robert louis stevenson,wrecker, The Wrecker
robert louis stevenson,wrongbox, The Wrong Box
louisa may alcott,candy, The Candy Country
louisa may alcott,cousins, Eight Cousins
louisa may alcott,ghost, The Abbot's Ghost
louisa may alcott,mask, Behind a Mask
louisa may alcott,scrap5,Aunt Jo's scrap-bag Volume 5
louisa may alcott,scrap6,Aunt Jo's scrap-bag Volume 6
louisa may alcott,scrap,Aunt Jo's scrap-bag Volume 1
horatio alger,adrift,Adrift in New York
horatio alger,brave,Brave And Bold : Alger
horatio alger,cash,The Cash Boy
horatio alger,grant,ANDY GRANT'S PLUCK
horatio alger,ladder,Bound To Rise: Up The Ladder
horatio alger,luggage,Ben, the Luggage Boy 
horatio alger,nugget,Ben's Nugget
james allen,african, Without Sanctuary: Lynching Photography in America
james allen,barbarians, The British Barbarians; A Hill Top Novel
james allen,beckoning, The Beckoning Hand and Other Stories
james allen,britain,
james allen,darwin,
james allen,taboo,
james allen,working,
jane austen,emma,Emma
jane austen,love,Love and Freindship
jane austen,mansfield, Mansfield Park
jane austen,northanger, Northanger Abbey
jane austen,persuasion, Persuasion
jane austen,pride, Pride and Prejudice
jane austen,sense, Sense and Sensibility
jane austen,susan, Lady Susan
emily bronte,eyre, Jane Eyre
emily bronte,professor, The Professor
emily bronte,shirley, Shirley
emily bronte,villete, Villette
james cooper,chase, The Deerslayer
james cooper,myers, Ned Myers or a Life Before the Mast
james cooper,pilot, The Pilot: A Tale of the Sea
james cooper,precaution, Precaution
james cooper,sea, The Sea Tales
james cooper,wept, The Wept of Wish-Ton-Wish
charles dickens,carol, A Christmas Carol
charles dickens,copperfield, David Copperfield
charles dickens,holiday, 
charles dickens,house, The Haunted House
charles dickens,life, The Life of Our Lord 
charles dickens,twist, Oliver Twist
hamlin garland,daughter, Daughter of the Middle Border
hamlin garland,eagle, The Eagle's Heart
hamlin garland,gray, The Captain of the Gray-Horse Troop
hamlin garland,prairie, Prairie Folks
hamlin garland,roads, Main-Travelled Roads
hamlin garland,shadow, The Shadow World
hamlin garland,star, The Light of the Star
hamlin garland,wayside, Wayside Courtships
nathaniel hawthorne,blithedale, The Blithedale Romance
nathaniel hawthorne,elixir, Dr. Heidegger's Experiment
nathaniel hawthorne,fanshawe, Fanshawe
nathaniel hawthorne,faun1, "The Marble Faun: Volume 1"
nathaniel hawthorne,faun2, "The Marble Faun: Volume 2"
nathaniel hawthorne,grimshawe, Septimius Felton
henry james,ambassadors, The Ambassadors
henry james,beast, The Beast in the Jungle
henry james,carpet, The Carpet-Bagger
henry james,europeans, The Europeans
henry james,jolly, The Jolly Corner
henry james,portrait, The Portrait of a Lady
henry james,washington, Washington Square
herman melville,bartleby, "Bartleby, the Scrivener"
herman melville,battle, Battle-Pieces and Aspects of the War
herman melville,confidence, The Confidence-Man
herman melville,jacket, The Jacket
herman melville,moby, Moby-Dick
herman melville,omoo, Omoo
herman melville,pierre, Pierre; or, The Ambiguities
herman melville,potter, Israel Potter: His Fifty Years of Exile
herman melville,redburn, redburn
herman melville,typee,  Typee: A Peep at Polynesian Life 
page,bred, Bred
page,burial, Burial
page,confederates,Confederates 
page,keith, keith
page,prisoners, prisoners
page,santa, A Captured Santa Claus
henry thoreau,cod, Cape Cod 
henry thoreau,excursions, Excursions
henry thoreau,maine, The Maine Woods
mark twain,mississippi, Life on the Mississippi 
mark twain,prince, The Prince and the Pauper 
mark twain,roughing, Roughing It 
mark twain,sawyer, The Adventures of Tom Sawyer
mark twain,tramp, A Tramp Abroad
arthur conan doyle,lostworld, The Lost World
arthur conan doyle,poisonbelt, The Poison Belt
arthur conan doyle,sherlockholmes, The Adventures of Sherlock Holmes
arthur conan doyle,valley, The Valley of Fear
arthur conan doyle,whitecompany, The White Company
washington irving,astoria, Astoria
washington irving,captainbonneville, The Adventures of Captain Bonneville
washington irving,historynewyork, A History of New York
washington irving,olivergoldsmith, Oliver Goldsmith: A Biography
washington irving,sketchbook, The Sketch Book
edgar allan poe,vol1, The Works of Edgar Allan Poe vol1
edgar allan poe,vol2, The Works of Edgar Allan Poe vol2
edgar allan poe,vol3, The Works of Edgar Allan Poe vol3
edgar allan poe,vol4, The Works of Edgar Allan Poe vol4
edgar allan poe,vol5, The Works of Edgar Allan Poe vol5
sarah orne jewett,bettyleicester, Betty Leicester
sarah orne jewett,countrydoctor, A Country Doctor
sarah orne jewett,lifeofnancy, The Life of Nancy
sarah orne jewett,pointedfirs, The Country of the Pointed Firs
sarah orne jewett,strangers, Strangers and wayfarers
edith wharton,ageofinnocence, The Age of Innocence
edith wharton,custom, Custom of the Country
edith wharton,ethanfrome, Ethan Frome
edith wharton,houseofmirth, The House of Mirth
edith wharton,reef, The Reef
edith wharton,summer, Summer
